"sample","outcome_label","outcome_value","prediction","prob0","prob1","biomarkers"
"contact207","stoolneg",1,1,0.429446328490911,0.570553671509089,"vibogaw"
"contact208","stoolneg",1,0,0.503360088917791,0.496639911082209,"Ogvctiter2_new_titers"
"contact208","stoolneg",1,0,0.593182236313739,0.406817763686261,"vibogaw"
"contact209","stoolneg",1,1,0.259552522868428,0.740447477131572,"Ogvctiter2_new_titers"
"contact209","stoolneg",1,1,0.298175768336411,0.701824231663589,"vibogaw"
"contact210","stoolneg",0,1,0.0953075088611077,0.904692491138892,"Ogvctiter2_new_titers"
"contact210","stoolneg",0,1,0.0756012318005354,0.924398768199464,"vibogaw"
"contact211","stoolneg",1,1,0.420374663047651,0.579625336952349,"vibogaw"
"contact211","stoolneg",1,1,0.394847552812685,0.605152447187315,"Ogvctiter2_new_titers"
"contact212","stoolneg",0,1,0.253950131421726,0.746049868578274,"vibogaw"
"contact212","stoolneg",0,1,0.306596948897336,0.693403051102664,"Ogvctiter2_new_titers"
"contact213","stoolneg",0,0,0.525496410899043,0.474503589100957,"vibogaw"
"contact213","stoolneg",0,0,0.529674022361368,0.470325977638632,"Ogvctiter2_new_titers"
"contact214","stoolneg",0,0,0.558425653869695,0.441574346130305,"Ogvctiter2_new_titers"
"contact214","stoolneg",0,1,0.49615221829684,0.50384778170316,"vibogaw"
"contact215","stoolneg",1,1,0.240985326618686,0.759014673381314,"vibogaw"
"contact215","stoolneg",1,1,0.430411839721167,0.569588160278833,"Ogvctiter2_new_titers"
"contact216","stoolneg",1,1,0.449865735331061,0.550134264668939,"Ogvctiter2_new_titers"
"contact216","stoolneg",1,1,0.188165141845598,0.811834858154402,"vibogaw"
"contact20","stoolneg",1,0,0.60340002375076,0.39659997624924,"vibogaw"
"contact20","stoolneg",1,1,0.378149691106967,0.621850308893033,"Ogvctiter2_new_titers"
"contact21","stoolneg",1,1,0.347651090816649,0.652348909183351,"Ogvctiter2_new_titers"
"contact21","stoolneg",1,1,0.19607505597258,0.80392494402742,"vibogaw"
"contact1","stoolneg",1,1,0.447216504707024,0.552783495292976,"vibogaw"
"contact1","stoolneg",1,0,0.510774121819014,0.489225878180986,"Ogvctiter2_new_titers"
"contact22","stoolneg",1,1,0.128280801985253,0.871719198014748,"vibogaw"
"contact22","stoolneg",1,1,0.273988695459167,0.726011304540833,"Ogvctiter2_new_titers"
"contact23","stoolneg",1,1,0.0993620966666633,0.900637903333337,"vibogaw"
"contact23","stoolneg",1,1,0.155780608980803,0.844219391019198,"Ogvctiter2_new_titers"
"contact24","stoolneg",1,1,0.245981610069497,0.754018389930503,"Ogvctiter2_new_titers"
"contact24","stoolneg",1,0,0.506263608785436,0.493736391214564,"vibogaw"
"contact25","stoolneg",1,1,0.0950098112542773,0.904990188745723,"vibogaw"
"contact25","stoolneg",1,1,0.15584603163864,0.84415396836136,"Ogvctiter2_new_titers"
"contact26","stoolneg",1,1,0.322261810514907,0.677738189485093,"vibogaw"
"contact26","stoolneg",1,1,0.220460773226601,0.779539226773399,"Ogvctiter2_new_titers"
"contact27","stoolneg",1,0,0.521618876123018,0.478381123876982,"Ogvctiter2_new_titers"
"contact27","stoolneg",1,1,0.364634929539844,0.635365070460156,"vibogaw"
"contact28","stoolneg",1,0,0.733507309550615,0.266492690449385,"vibogaw"
"contact28","stoolneg",1,0,0.730991639457894,0.269008360542106,"Ogvctiter2_new_titers"
"contact29","stoolneg",0,0,0.505086836220196,0.494913163779804,"vibogaw"
"contact29","stoolneg",0,1,0.351092533425467,0.648907466574533,"Ogvctiter2_new_titers"
"contact30","stoolneg",1,1,0.211152806103425,0.788847193896575,"Ogvctiter2_new_titers"
"contact30","stoolneg",1,1,0.100553468573051,0.899446531426949,"vibogaw"
"contact31","stoolneg",0,0,0.571585541208878,0.428414458791122,"Ogvctiter2_new_titers"
"contact31","stoolneg",0,0,0.524220972891058,0.475779027108941,"vibogaw"
"contact32","stoolneg",1,0,0.733541148016071,0.266458851983929,"Ogvctiter2_new_titers"
"contact32","stoolneg",1,0,0.741107080037266,0.258892919962734,"vibogaw"
"contact33","stoolneg",1,1,0.305845548796749,0.694154451203251,"Ogvctiter2_new_titers"
"contact33","stoolneg",1,1,0.196648023682545,0.803351976317455,"vibogaw"
"contact34","stoolneg",1,1,0.316312325711784,0.683687674288216,"vibogaw"
"contact34","stoolneg",1,1,0.256014944777445,0.743985055222555,"Ogvctiter2_new_titers"
"contact35","stoolneg",0,1,0.430536082712437,0.569463917287562,"vibogaw"
"contact35","stoolneg",0,1,0.347385671114232,0.652614328885768,"Ogvctiter2_new_titers"
"contact36","stoolneg",1,1,0.440798773332791,0.559201226667209,"Ogvctiter2_new_titers"
"contact36","stoolneg",1,1,0.428481688104637,0.571518311895363,"vibogaw"
"contact37","stoolneg",1,0,0.679858057920753,0.320141942079247,"Ogvctiter2_new_titers"
"contact37","stoolneg",1,0,0.609839026096884,0.390160973903116,"vibogaw"
"contact38","stoolneg",0,1,0.341405647259517,0.658594352740482,"vibogaw"
"contact38","stoolneg",0,0,0.510145191839465,0.489854808160535,"Ogvctiter2_new_titers"
"contact39","stoolneg",0,0,0.544005709993482,0.455994290006518,"vibogaw"
"contact39","stoolneg",0,0,0.553014331055083,0.446985668944917,"Ogvctiter2_new_titers"
"contact40","stoolneg",0,1,0.189623428674009,0.810376571325991,"vibogaw"
"contact40","stoolneg",0,1,0.385156335979982,0.614843664020018,"Ogvctiter2_new_titers"
"contact41","stoolneg",1,0,0.571459464860046,0.428540535139954,"vibogaw"
"contact41","stoolneg",1,1,0.434799134658771,0.565200865341228,"Ogvctiter2_new_titers"
"contact42","stoolneg",1,1,0.350495465555257,0.649504534444743,"Ogvctiter2_new_titers"
"contact42","stoolneg",1,1,0.294682871398468,0.705317128601533,"vibogaw"
